lga,indicator,percentage,vic_point_est,vic_lower,vic_upper,comparison
Banyule (C),Complied with vegetable consumption guidelines,6.648588,5.388293,5.0284,5.77238,Significantly higher
Banyule (C),Complied with fruit consumption guidelines,48.36966,43.19355,42.28772,44.10395,Significantly higher
Banyule (C),Daily smoker,10.48191,12.42754,11.80477,13.0783,Significantly lower
Banyule (C),Current (i.e. daily or occasional smoker),13.63934,16.741,16.03742,17.46903,Significantly lower
Banyule (C),Increased lifetime risk of alcohol related harm,63.75273,59.48907,58.59407,60.37781,Significantly higher
Banyule (C),Incr. risk of injury from a single occasion of drinking,48.17655,42.98549,42.10708,43.86834,Significantly higher
Banyule (C),Fair or poor self reported health,16.27499,20.28965,19.55869,21.04079,Significantly lower
Banyule (C),Low or medium life satisfaction,17.84407,20.45532,19.69321,21.23913,Significantly lower
Banyule (C),High or very high levels of psychological distress,11.49,15.43,14.75,16.14,Significantly lower
Banyule (C),Doctor diagnosed hypertension,21.07545,25.42567,24.74985,26.11354,Significantly lower
Banyule (C),Anxiety or depression,28.39732,27.36389,26.566,28.17655,Significantly higher
Banyule (C),Arthritis,16.8723,20.54975,19.97896,21.13254,Significantly lower
Banyule (C),Asthma ever diagnosed,24.08901,19.9574,19.24135,20.69326,Significantly higher
Banyule (C),Cancer,7.186332,8.055676,7.650898,8.479904,Significantly lower
Banyule (C),Type 2 diabetes,4.595943,5.452335,5.114101,5.81157,Significantly lower
Banyule (C),Heart disease,5.458917,6.74474,6.381202,7.127412,Significantly lower
Banyule (C),Osteoporosis,3.465762,5.669229,5.326293,6.032838,Significantly lower
Banyule (C),Stroke,1.754683,2.364184,2.142138,2.608632,Significantly lower
Banyule (C),Two or more chronic diseases,24.33578,25.48854,24.80298,26.18645,Significantly lower
Banyule (C),Had a blood lipids test in last 2 years,58.47286,56.78789,55.95063,57.62128,Significantly higher
Banyule (C),Had a blood pressure test in last 2 years,82.87274,79.5963,78.80486,80.36555,Significantly higher
Banyule (C),Had a blood glucose test in last 2 years,47.88426,50.72365,49.86354,51.58334,Significantly lower
Banyule (C),Had a faecal occult blood test 50 years of age,58.14256,60.14296,58.76671,61.50336,Significantly lower
Banyule (C),Had a bowel exam to detect cancer last 5 years,48.91977,46.75256,45.59576,47.91285,Significantly higher
Banyule (C),Had a mammogram to detect cancer in last 2 years,83.15048,79.2266,77.66267,80.70823,Significantly higher
Bass Coast (S),Obese,20.26775,19.26897,18.58293,19.97411,Significantly higher
Bass Coast (S),Overweight,50.94888,50.80429,49.90919,51.69888,Not sig. diff.
Bass Coast (S),Daily consumer of sugar sweetened soft drinks,8.386481,10.09867,9.516874,10.71183,Significantly lower
Bass Coast (S),Take away food consumed >1 day/week,10.24482,15.2893,14.59565,16.00974,Significantly lower
Bass Coast (S),Sedentary (inactive),0.8298157,2.539791,2.256574,2.857514,Significantly lower
Bass Coast (S),Insufficiently physically active,44.72665,44.08774,43.18836,44.99101,Not sig. diff.
Bass Coast (S),Complied with vegetable consumption guidelines,7.801793,5.388293,5.0284,5.77238,Significantly higher
Bass Coast (S),Complied with fruit consumption guidelines,42.88363,43.19355,42.28772,44.10395,Not sig. diff.
Bass Coast (S),Daily smoker,18.18584,12.42754,11.80477,13.0783,Significantly higher
Bass Coast (S),Current (i.e. daily or occasional smoker),23.84661,16.741,16.03742,17.46903,Significantly higher
Bass Coast (S),Increased lifetime risk of alcohol related harm,73.3525,59.48907,58.59407,60.37781,Significantly higher
Bass Coast (S),Incr. risk of injury from a single occasion of drinking,54.45908,42.98549,42.10708,43.86834,Significantly higher
Bass Coast (S),Fair or poor self reported health,25.04505,20.28965,19.55869,21.04079,Significantly higher
Bass Coast (S),Low or medium life satisfaction,23.32632,20.45532,19.69321,21.23913,Significantly higher
Bass Coast (S),High or very high levels of psychological distress,20.08,15.43,14.75,16.14,Significantly higher
Bass Coast (S),Doctor diagnosed hypertension,31.25945,25.42567,24.74985,26.11354,Significantly higher
Bass Coast (S),Anxiety or depression,39.05146,27.36389,26.566,28.17655,Significantly higher
Bass Coast (S),Arthritis,25.70075,20.54975,19.97896,21.13254,Significantly higher
Bass Coast (S),Asthma ever diagnosed,18.84451,19.9574,19.24135,20.69326,Significantly lower
Bass Coast (S),Cancer,12.20931,8.055676,7.650898,8.479904,Significantly higher
Bass Coast (S),Type 2 diabetes,5.825546,5.452335,5.114101,5.81157,Significantly higher
Bass Coast (S),Heart disease,8.861826,6.74474,6.381202,7.127412,Significantly higher
Bass Coast (S),Osteoporosis,5.477156,5.669229,5.326293,6.032838,Not sig. diff.
Bass Coast (S),Stroke,2.919772,2.364184,2.142138,2.608632,Significantly higher
Bass Coast (S),Two or more chronic diseases,34.61232,25.48854,24.80298,26.18645,Significantly higher
Bass Coast (S),Had a blood lipids test in last 2 years,54.70432,56.78789,55.95063,57.62128,Significantly lower
Bass Coast (S),Had a blood pressure test in last 2 years,85.76977,79.5963,78.80486,80.36555,Significantly higher
Bass Coast (S),Had a blood glucose test in last 2 years,51.05243,50.72365,49.86354,51.58334,Not sig. diff.
Bass Coast (S),Had a faecal occult blood test 50 years of age,57.60737,60.14296,58.76671,61.50336,Significantly lower
Bass Coast (S),Had a bowel exam to detect cancer last 5 years,49.01062,46.75256,45.59576,47.91285,Significantly higher
Bass Coast (S),Had a mammogram to detect cancer in last 2 years,68.70025,79.2266,77.66267,80.70823,Significantly lower
Baw Baw (S),Obese,23.62602,19.26897,18.58293,19.97411,Significantly higher
Baw Baw (S),Overweight,55.69085,50.80429,49.90919,51.69888,Significantly higher
Baw Baw (S),Daily consumer of sugar sweetened soft drinks,10.32553,10.09867,9.516874,10.71183,Not sig. diff.
Baw Baw (S),Take away food consumed >1 day/week,11.81427,15.2893,14.59565,16.00974,Significantly lower
Baw Baw (S),Sedentary (inactive),1.385759,2.539791,2.256574,2.857514,Significantly lower
Baw Baw (S),Insufficiently physically active,44.6954,44.08774,43.18836,44.99101,Not sig. diff.
Baw Baw (S),Complied with vegetable consumption guidelines,6.787799,5.388293,5.0284,5.77238,Significantly higher
Baw Baw (S),Complied with fruit consumption guidelines,52.09098,43.19355,42.28772,44.10395,Significantly higher
Baw Baw (S),Daily smoker,18.33911,12.42754,11.80477,13.0783,Significantly higher
Baw Baw (S),Current (i.e. daily or occasional smoker),23.35388,16.741,16.03742,17.46903,Significantly higher
Baw Baw (S),Increased lifetime risk of alcohol related harm,59.188720000000004,59.48907,58.59407,60.37781,Not sig. diff.
Baw Baw (S),Incr. risk of injury from a single occasion of drinking,45.05243,42.98549,42.10708,43.86834,Significantly higher
Baw Baw (S),Fair or poor self reported health,22.58537,20.28965,19.55869,21.04079,Significantly higher
Baw Baw (S),Low or medium life satisfaction,19.44331,20.45532,19.69321,21.23913,Significantly lower
Baw Baw (S),High or very high levels of psychological distress,14.21,15.43,14.75,16.14,Significantly lower
Baw Baw (S),Doctor diagnosed hypertension,29.3397,25.42567,24.74985,26.11354,Significantly higher
Baw Baw (S),Anxiety or depression,35.41158,27.36389,26.566,28.17655,Significantly higher
Baw Baw (S),Arthritis,24.40433,20.54975,19.97896,21.13254,Significantly higher
Baw Baw (S),Asthma ever diagnosed,20.04824,19.9574,19.24135,20.69326,Not sig. diff.
Baw Baw (S),Cancer,9.830603,8.055676,7.650898,8.479904,Significantly higher
Baw Baw (S),Type 2 diabetes,5.660679,5.452335,5.114101,5.81157,Not sig. diff.
Baw Baw (S),Heart disease,5.270344,6.74474,6.381202,7.127412,Significantly lower
Baw Baw (S),Osteoporosis,5.77646,5.669229,5.326293,6.032838,Not sig. diff.
Baw Baw (S),Stroke,2.645921,2.364184,2.142138,2.608632,Significantly higher
Baw Baw (S),Two or more chronic diseases,27.08606,25.48854,24.80298,26.18645,Significantly higher
Baw Baw (S),Had a blood lipids test in last 2 years,50.19528,56.78789,55.95063,57.62128,Significantly lower
Baw Baw (S),Had a blood pressure test in last 2 years,76.82858,79.5963,78.80486,80.36555,Significantly lower
Baw Baw (S),Had a blood glucose test in last 2 years,48.71944,50.72365,49.86354,51.58334,Significantly lower
Baw Baw (S),Had a faecal occult blood test 50 years of age,58.30151,60.14296,58.76671,61.50336,Significantly lower
Baw Baw (S),Had a bowel exam to detect cancer last 5 years,46.52374,46.75256,45.59576,47.91285,Not sig. diff.
Baw Baw (S),Had a mammogram to detect cancer in last 2 years,72.83914,79.2266,77.66267,80.70823,Significantly lower
Bayside (C),Obese,10.57602,19.26897,18.58293,19.97411,Significantly lower
Bayside (C),Overweight,43.20269,50.80429,49.90919,51.69888,Significantly lower
Bayside (C),Daily consumer of sugar sweetened soft drinks,6.637413,10.09867,9.516874,10.71183,Significantly lower
Bayside (C),Take away food consumed >1 day/week,14.23768,15.2893,14.59565,16.00974,Significantly lower
Bayside (C),Sedentary (inactive),0.7877527,2.539791,2.256574,2.857514,Significantly lower
Bayside (C),Insufficiently physically active,34.48299,44.08774,43.18836,44.99101,Significantly lower
Bayside (C),Complied with vegetable consumption guidelines,6.6839,5.388293,5.0284,5.77238,Significantly higher
Bayside (C),Complied with fruit consumption guidelines,47.98834,43.19355,42.28772,44.10395,Significantly higher
Bayside (C),Daily smoker,3.145213,12.42754,11.80477,13.0783,Significantly lower
Bayside (C),Current (i.e. daily or occasional smoker),9.759404,16.741,16.03742,17.46903,Significantly lower
Bayside (C),Increased lifetime risk of alcohol related harm,77.68785,59.48907,58.59407,60.37781,Significantly higher
Bayside (C),Incr. risk of injury from a single occasion of drinking,60.02416,42.98549,42.10708,43.86834,Significantly higher
Bayside (C),Fair or poor self reported health,11.59556,20.28965,19.55869,21.04079,Significantly lower
Bayside (C),Low or medium life satisfaction,11.17453,20.45532,19.69321,21.23913,Significantly lower
Bayside (C),High or very high levels of psychological distress,10.22,15.43,14.75,16.14,Significantly lower
Bayside (C),Doctor diagnosed hypertension,18.68131,25.42567,24.74985,26.11354,Significantly lower
Bayside (C),Anxiety or depression,23.00917,27.36389,26.566,28.17655,Significantly lower
Bayside (C),Arthritis,17.86619,20.54975,19.97896,21.13254,Significantly lower
Bayside (C),Asthma ever diagnosed,31.3924,19.9574,19.24135,20.69326,Significantly higher
Bayside (C),Cancer,7.14091,8.055676,7.650898,8.479904,Significantly lower
Bayside (C),Type 2 diabetes,3.045892,5.452335,5.114101,5.81157,Significantly lower
Bayside (C),Heart disease,5.918472,6.74474,6.381202,7.127412,Significantly lower
Bayside (C),Osteoporosis,4.665183,5.669229,5.326293,6.032838,Significantly lower
Bayside (C),Stroke,0.8543427,2.364184,2.142138,2.608632,Significantly lower
Bayside (C),Two or more chronic diseases,24.7468,25.48854,24.80298,26.18645,Significantly lower
Bayside (C),Had a blood lipids test in last 2 years,55.41685,56.78789,55.95063,57.62128,Significantly lower
Bayside (C),Had a blood pressure test in last 2 years,79.63776,79.5963,78.80486,80.36555,Not sig. diff.
Bayside (C),Had a blood glucose test in last 2 years,43.36595,50.72365,49.86354,51.58334,Significantly lower
Bayside (C),Had a faecal occult blood test 50 years of age,58.86659,60.14296,58.76671,61.50336,Not sig. diff.
Bayside (C),Had a bowel exam to detect cancer last 5 years,48.92033,46.75256,45.59576,47.91285,Significantly higher
Bayside (C),Had a mammogram to detect cancer in last 2 years,78.3952,79.2266,77.66267,80.70823,Not sig. diff.
Benalla (RC),Obese,31.00831,19.26897,18.58293,19.97411,Significantly higher
Benalla (RC),Overweight,61.31022,50.80429,49.90919,51.69888,Significantly higher
Benalla (RC),Daily consumer of sugar sweetened soft drinks,19.27231,10.09867,9.516874,10.71183,Significantly higher
Benalla (RC),Take away food consumed >1 day/week,13.95528,15.2893,14.59565,16.00974,Significantly lower
Benalla (RC),Sedentary (inactive),4.016589,2.539791,2.256574,2.857514,Significantly higher
Benalla (RC),Insufficiently physically active,53.97627,44.08774,43.18836,44.99101,Significantly higher
Benalla (RC),Complied with vegetable consumption guidelines,7.680507,5.388293,5.0284,5.77238,Significantly higher
Benalla (RC),Complied with fruit consumption guidelines,38.0843,43.19355,42.28772,44.10395,Significantly lower
Benalla (RC),Daily smoker,14.41722,12.42754,11.80477,13.0783,Significantly higher
Benalla (RC),Current (i.e. daily or occasional smoker),17.80689,16.741,16.03742,17.46903,Significantly higher
Benalla (RC),Increased lifetime risk of alcohol related harm,59.55327,59.48907,58.59407,60.37781,Not sig. diff.
Benalla (RC),Incr. risk of injury from a single occasion of drinking,46.59712,42.98549,42.10708,43.86834,Significantly higher
Benalla (RC),Fair or poor self reported health,20.61535,20.28965,19.55869,21.04079,Not sig. diff.
Benalla (RC),Low or medium life satisfaction,17.36541,20.45532,19.69321,21.23913,Significantly lower
Benalla (RC),High or very high levels of psychological distress,19.29,15.43,14.75,16.14,Significantly higher
Benalla (RC),Doctor diagnosed hypertension,34.91544,25.42567,24.74985,26.11354,Significantly higher
Benalla (RC),Anxiety or depression,37.15099,27.36389,26.566,28.17655,Significantly higher
Benalla (RC),Arthritis,19.80367,20.54975,19.97896,21.13254,Significantly lower
Benalla (RC),Asthma ever diagnosed,30.6156,19.9574,19.24135,20.69326,Significantly higher
Benalla (RC),Cancer,10.22623,8.055676,7.650898,8.479904,Significantly higher
Benalla (RC),Type 2 diabetes,4.903474,5.452335,5.114101,5.81157,Significantly lower
Benalla (RC),Heart disease,4.355389,6.74474,6.381202,7.127412,Significantly lower
Benalla (RC),Osteoporosis,5.774596,5.669229,5.326293,6.032838,Not sig. diff.
Benalla (RC),Stroke,2.279398,2.364184,2.142138,2.608632,Not sig. diff.
Benalla (RC),Two or more chronic diseases,30.73083,25.48854,24.80298,26.18645,Significantly higher
Benalla (RC),Had a blood lipids test in last 2 years,61.56902,56.78789,55.95063,57.62128,Significantly higher
Benalla (RC),Had a blood pressure test in last 2 years,88.53976,79.5963,78.80486,80.36555,Significantly higher
Benalla (RC),Had a blood glucose test in last 2 years,60.9686,50.72365,49.86354,51.58334,Significantly higher
Benalla (RC),Had a faecal occult blood test 50 years of age,70.21308,60.14296,58.76671,61.50336,Significantly higher
Benalla (RC),Had a bowel exam to detect cancer last 5 years,49.15592,46.75256,45.59576,47.91285,Significantly higher
Benalla (RC),Had a mammogram to detect cancer in last 2 years,85.98594,79.2266,77.66267,80.70823,Significantly higher
Boroondara (C),Obese,10.53356,19.26897,18.58293,19.97411,Significantly lower
Boroondara (C),Overweight,38.01874,50.80429,49.90919,51.69888,Significantly lower
Boroondara (C),Daily consumer of sugar sweetened soft drinks,4.629727,10.09867,9.516874,10.71183,Significantly lower
Boroondara (C),Take away food consumed >1 day/week,12.75485,15.2893,14.59565,16.00974,Significantly lower
Boroondara (C),Sedentary (inactive),1.954563,2.539791,2.256574,2.857514,Significantly lower
Boroondara (C),Insufficiently physically active,38.51205,44.08774,43.18836,44.99101,Significantly lower
Boroondara (C),Complied with vegetable consumption guidelines,7.988338,5.388293,5.0284,5.77238,Significantly higher
Boroondara (C),Complied with fruit consumption guidelines,47.82057,43.19355,42.28772,44.10395,Significantly higher
Boroondara (C),Daily smoker,4.818616,12.42754,11.80477,13.0783,Significantly lower
Boroondara (C),Current (i.e. daily or occasional smoker),9.92287,16.741,16.03742,17.46903,Significantly lower
Boroondara (C),Increased lifetime risk of alcohol related harm,66.22992,59.48907,58.59407,60.37781,Significantly higher
Boroondara (C),Incr. risk of injury from a single occasion of drinking,44.99023,42.98549,42.10708,43.86834,Significantly higher
Boroondara (C),Fair or poor self reported health,14.90785,20.28965,19.55869,21.04079,Significantly lower
Boroondara (C),Low or medium life satisfaction,17.37798,20.45532,19.69321,21.23913,Significantly lower
Boroondara (C),High or very high levels of psychological distress,8.85,15.43,14.75,16.14,Significantly lower
Boroondara (C),Doctor diagnosed hypertension,18.60294,25.42567,24.74985,26.11354,Significantly lower
