LGA_2016,Local Government Areas - 2016,SEIFAINDEXTYPE,Index Type,SEIFA_MEASURE,Measure,TIME,Time,Value,Flag Codes,Flags
20740,Bass Coast (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,779,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1111,,
20740,Bass Coast (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,32804,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,972,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,338,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,62,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,35,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,44,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,842,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1104,,
20830,Baw Baw (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,48479,,
20910,Bayside (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1144,,
20910,Bayside (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,523,,
20910,Bayside (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
20910,Bayside (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,96,,
20910,Bayside (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,76,,
20910,Bayside (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
20910,Bayside (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,94,,
20910,Bayside (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1012,,
20910,Bayside (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1225,,
20910,Bayside (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,97087,,
21010,Benalla (RC),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,963,,
21010,Benalla (RC),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,299,,
21010,Benalla (RC),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
21010,Benalla (RC),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,55,,
21010,Benalla (RC),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,26,,
21010,Benalla (RC),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
21010,Benalla (RC),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,33,,
21010,Benalla (RC),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,782,,
21010,Benalla (RC),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1103,,
21010,Benalla (RC),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,13861,,
21110,Boroondara (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1156,,
21110,Boroondara (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,529,,
21110,Boroondara (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
21110,Boroondara (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,97,,
21110,Boroondara (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,79,,
21110,Boroondara (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
21110,Boroondara (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,98,,
21110,Boroondara (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,1047,,
21110,Boroondara (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1227,,
21110,Boroondara (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,167231,,
21180,Brimbank (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,916,,
21180,Brimbank (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,97,,
21180,Brimbank (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,2,,
21180,Brimbank (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,18,,
21180,Brimbank (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,4,,
21180,Brimbank (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
21180,Brimbank (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,5,,
21180,Brimbank (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,781,,
21180,Brimbank (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1116,,
21180,Brimbank (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,194319,,
21270,Buloke (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,974,,
21270,Buloke (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,343,,
21270,Buloke (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
21270,Buloke (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,63,,
21270,Buloke (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,37,,
21270,Buloke (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
21270,Buloke (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,46,,
21270,Buloke (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,867,,
21270,Buloke (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1064,,
21270,Buloke (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,6201,,
21370,Campaspe (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,938,,
21370,Campaspe (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,191,,
21370,Campaspe (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
21370,Campaspe (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,35,,
21370,Campaspe (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,11,,
21370,Campaspe (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
21370,Campaspe (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,14,,
21370,Campaspe (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,803,,
21370,Campaspe (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1068,,
21370,Campaspe (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,37061,,
21450,Cardinia (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,970,,
21450,Cardinia (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,323,,
21450,Cardinia (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
21450,Cardinia (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,60,,
21450,Cardinia (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,32,,
21450,Cardinia (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
21450,Cardinia (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,40,,
21450,Cardinia (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,815,,
21450,Cardinia (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1096,,
21450,Cardinia (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,94128,,
21610,Casey (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,962,,
21610,Casey (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,294,,
21610,Casey (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
21610,Casey (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,54,,
21610,Casey (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,24,,
21610,Casey (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
21610,Casey (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,30,,
21610,Casey (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,776,,
21610,Casey (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1110,,
21610,Casey (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,299301,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,889,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,47,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,1,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,9,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,1,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,2,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,680,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1032,,
21670,Central Goldfields (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,12995,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,940,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,202,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,37,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,13,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,17,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,716,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1080,,
21750,Colac-Otway (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,20972,,
21830,Corangamite (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,969,,
21830,Corangamite (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,320,,
21830,Corangamite (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
21830,Corangamite (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,59,,
21830,Corangamite (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,30,,
21830,Corangamite (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
21830,Corangamite (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,38,,
21830,Corangamite (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,804,,
21830,Corangamite (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1090,,
21830,Corangamite (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,16051,,
21890,Darebin (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1053,,
21890,Darebin (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,478,,
21890,Darebin (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,9,,
21890,Darebin (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,88,,
21890,Darebin (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,64,,
21890,Darebin (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,8,,
21890,Darebin (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,80,,
21890,Darebin (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,837,,
21890,Darebin (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1199,,
21890,Darebin (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,146719,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,947,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,237,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,5,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,44,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,17,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,3,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,21,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,719,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1098,,
22110,East Gippsland (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,45040,,
22170,Frankston (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,976,,
22170,Frankston (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,353,,
22170,Frankston (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
22170,Frankston (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,65,,
22170,Frankston (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,39,,
22170,Frankston (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
22170,Frankston (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,49,,
22170,Frankston (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,776,,
22170,Frankston (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1135,,
22170,Frankston (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,134143,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,936,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,180,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,4,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,33,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,10,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,2,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,13,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,818,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1112,,
22250,Gannawarra (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,10549,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,1121,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,513,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,10,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,94,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,73,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,10,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,91,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,950,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1228,,
22310,Glen Eira (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,140875,,
22410,Glenelg (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,924,,
22410,Glenelg (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,128,,
22410,Glenelg (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,3,,
22410,Glenelg (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,24,,
22410,Glenelg (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,5,,
22410,Glenelg (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
22410,Glenelg (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,7,,
22410,Glenelg (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,800,,
22410,Glenelg (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1135,,
22410,Glenelg (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,19557,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,979,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,361,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,7,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,67,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,40,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,5,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,50,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,886,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1094,,
22490,Golden Plains (S),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,21688,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,970,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,322,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,6,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,59,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,31,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,4,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,39,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,685,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1150,,
22620,Greater Bendigo (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,110477,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,906,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,75,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,2,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,14,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,2,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,1,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,RWSP,Rank within State or Territory - Percentile,2016,2016,3,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,MINS,Minimum score for SA1s in area,2016,2016,711,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,MAXS,Maximum score for SA1s in area,2016,2016,1110,,
22670,Greater Dandenong (C),IEO,Index of Education and Occupation,URP,Usual resident population,2016,2016,152050,,
22750,Greater Geelong (C),IEO,Index of Education and Occupation,SCORE,Score,2016,2016,988,,
22750,Greater Geelong (C),IEO,Index of Education and Occupation,RWAR,Rank within Australia,2016,2016,395,,
22750,Greater Geelong (C),IEO,Index of Education and Occupation,RWAD,Rank within Australia - Decile,2016,2016,8,,
22750,Greater Geelong (C),IEO,Index of Education and Occupation,RWAP,Rank within Australia - Percentile,2016,2016,73,,
22750,Greater Geelong (C),IEO,Index of Education and Occupation,RWSR,Rank within State or Territory,2016,2016,48,,
22750,Greater Geelong (C),IEO,Index of Education and Occupation,RWSD,Rank within State or Territory - Decile,2016,2016,6,,
